side,ref,value,footprint,lcsc,role,pop
R,H2,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H20,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H21,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H22,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H23,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H24,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H25,DRV5053VAQDBZR,1.5U Key,C962159,HE sensor,populated
R,H26,DRV5053VAQDBZR,1.5U Key,C962159,HE sensor,populated
R,H27,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H28,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H29,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H3,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H4,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H5,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H6,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H7,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H8,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H9,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,LED1,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED10,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
